421829newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AaronPressman/421829newsML.txt
387432newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/387432newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. JonathanBirt 19.0


390618newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/390618newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LydiaZajc 27.0


397422newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/397422newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LydiaZajc 27.0


406179newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/406179newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LydiaZajc 27.0


406245newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/406245newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. JoWinterbottom 20.0


408852newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/408852newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LydiaZajc 27.0


409936newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/409936newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. HeatherScoffield 13.0


409941newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/409941newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LynneO'Donnell 28.0


411919newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/411919newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LydiaZajc 27.0


411926newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/411926newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. JoeOrtiz 17.0


416661newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/416661newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. KouroshKarimkhany 26.0


417179newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/417179newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. JonathanBirt 19.0


419898newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/419898newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. KevinDrawbaugh 23.0


423498newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/423498newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. DarrenSchuettler 7.0


426019newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/426019newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. TimFarrand 48.0


426115newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/426115newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. BernardHickey 5.0


432677newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/432677newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. KevinMorrison 24.0


438922newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/438922newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. MichaelConnor 34.0


440413newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/440413newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. JonathanBirt 19.0


449523newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/449523newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. MarkBendeich 31.0


45801newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/45801newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. RobinSidel 40.0


458593newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/458593newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LydiaZajc 27.0


462651newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/462651newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LydiaZajc 27.0


465637newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/465637newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LydiaZajc 27.0


468774newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/468774newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. MichaelConnor 34.0


471500newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/471500newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LydiaZajc 27.0


503342newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/503342newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LydiaZajc 27.0


505819newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/505819newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LydiaZajc 27.0


508764newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/508764newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LydiaZajc 27.0


51422newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/51422newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. AaronPressman 1.0


516745newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/516745newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LydiaZajc 27.0


518896newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/518896newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. DarrenSchuettler 7.0


520056newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/520056newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. MarkBendeich 31.0


524134newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/524134newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LydiaZajc 27.0


524138newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/524138newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. JonathanBirt 19.0


543300newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/543300newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LydiaZajc 27.0


543308newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/543308newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. EricAuchard 10.0


546231newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/546231newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LydiaZajc 27.0


549842newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/549842newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LydiaZajc 27.0


553290newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/553290newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LydiaZajc 27.0


555375newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/555375newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. MarkBendeich 31.0


555388newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LydiaZajc/555388newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. TimFarrand 48.0


29644newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/29644newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. KarlPenhaul 21.0


30150newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/30150newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LynneO'Donnell 28.0


30159newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/30159newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. KarlPenhaul 21.0


308675newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/308675newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LynneO'Donnell 28.0


326546newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/326546newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. GrahamEarnshaw 12.0


329320newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/329320newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. DarrenSchuettler 7.0


329704newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/329704newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. DarrenSchuettler 7.0


334764newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/334764newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. KarlPenhaul 21.0


336018newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/336018newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. KarlPenhaul 21.0


342460newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/342460newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. KeithWeir 22.0


34681newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/34681newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. GrahamEarnshaw 12.0


34786newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/34786newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. MatthewBunce 33.0


351174newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/351174newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. TanEeLyn 46.0


358776newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/358776newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. DavidLawder 8.0


358806newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/358806newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. KevinMorrison 24.0


368201newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/368201newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LynneO'Donnell 28.0


374038newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/374038newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. AlexanderSmith 3.0


383194newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/383194newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LynneO'Donnell 28.0


392189newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/392189newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LynneO'Donnell 28.0


392383newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/392383newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. KarlPenhaul 21.0


394081newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/394081newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. HeatherScoffield 13.0


394110newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/394110newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. JaneMacartney 14.0


396710newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/396710newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. JaneMacartney 14.0


397899newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/397899newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. KevinDrawbaugh 23.0


399130newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/399130newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LynneO'Donnell 28.0


399373newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/399373newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. JaneMacartney 14.0


399889newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/399889newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LynneO'Donnell 28.0


402635newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/402635newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. JohnMastrini 18.0


409029newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/409029newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. DarrenSchuettler 7.0


413503newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/413503newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LynneO'Donnell 28.0


422342newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/422342newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. GrahamEarnshaw 12.0


42284newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/42284newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LynneO'Donnell 28.0


426695newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/426695newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LynneO'Donnell 28.0


426864newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/426864newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LydiaZajc 27.0


431701newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/431701newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. BernardHickey 5.0


431745newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/431745newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. MarkBendeich 31.0


434690newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/434690newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. DarrenSchuettler 7.0


437962newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/437962newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LynneO'Donnell 28.0


441368newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/441368newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LynneO'Donnell 28.0


444232newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/444232newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. KevinMorrison 24.0


448512newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/448512newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. MatthewBunce 33.0


451502newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/451502newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. GrahamEarnshaw 12.0


4587newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/4587newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LynneO'Donnell 28.0


461113newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/461113newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. GrahamEarnshaw 12.0


46320newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/46320newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LynneO'Donnell 28.0


467877newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/467877newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. HeatherScoffield 13.0


4680newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/4680newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LynneO'Donnell 28.0


470975newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/470975newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. TimFarrand 48.0


474810newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/474810newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. EricAuchard 10.0


480355newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynneO'Donnell/480355newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. EricAuchard 10.0


334440newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynnleyBrowning/334440newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LynnleyBrowning 29.0


337350newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynnleyBrowning/337350newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LynnleyBrowning 29.0


340421newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynnleyBrowning/340421newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LynnleyBrowning 29.0


347842newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynnleyBrowning/347842newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. MatthewBunce 33.0


353699newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/LynnleyBrowning/353699newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LynnleyBrowning 29.0


